State,Area_Name,Latitude,Longitude,DensityPerSquaremileOfLandarea-Population,Median_Household_Income_2018,Percent_of_adults_with_a_high_school_diploma_only_2014-18
WA,Snohomish County,48.054913,-121.766412,341.8,87096,23.8
WA,Spokane County,47.620379,-117.404392,267.2,59408,23.6
WV,Cabell County,38.41958,-82.243392,342.8,39790,33.1
WV,Jackson County,38.834234,-81.677717,62.9,48731,44
WV,Mineral County,39.405626,-78.956581,86.1,48578,48.4
WV,Putnam County,38.510513,-81.906109,160.5,61995,37.3
WV,Taylor County,39.329072,-80.045629,97.8,46370,46
WI,Brown County,44.473961,-87.995926,468.2,62097,30.2
WI,Columbia County,43.471882,-89.330472,74.2,65435,33.9
WI,Eau Claire County,44.726355,-91.286414,154.8,60111,25.3
WI,Grant County,42.870062,-90.695368,44.7,57328,36.4
WI,Jackson County,44.324895,-90.806541,20.7,52919,40
WI,Juneau County,43.932836,-90.113984,34.8,52891,41.8
WI,Kenosha County,42.579703,-87.424898,611.9,65013,31
WI,La Crosse County,43.908222,-91.111758,253.8,60619,25.4
WI,Manitowoc County,44.105108,-87.313828,138.3,56466,38.5
WI,Marathon County,44.898036,-89.757823,86.8,63442,34.5
WI,Polk County,45.46803,-92.453154,48.4,59990,37.7
WI,Portage County,44.476246,-89.49807,87.4,59032,31.8
WI,Walworth County,42.66811,-88.541731,184.2,64234,31.6
WI,Waushara County,44.112825,-89.239752,39.1,52340,41.8
WY,Lincoln County,42.228788,-110.679842,4.4,69598,31.8
