MS,Claiborne County,31.97281,-90.915424,19.7,29631,30.5
MS,Covington County,31.633331,-89.548897,47.3,36083,37.3
MS,Grenada County,33.770031,-89.80274,51.9,39633,27.6
MS,Jefferson County,31.733633,-91.043878,14.9,28024,36.1
MS,Lawrence County,31.550009,-90.10753,30,40510,37.3
MS,Leake County,32.753268,-89.522568,40.8,37212,36.6
MS,Yalobusha County,34.030669,-89.703793,27.1,39551,38.5
MO,Caldwell County,39.658998,-93.979179,22.1,47591,43.2
MO,Cape Girardeau County,37.383882,-89.684908,130.8,51962,32.1
MO,Carroll County,39.427375,-93.500227,13.4,47049,45.2
MO,DeKalb County,39.894665,-94.40719,30.6,48920,45.4
MO,Gentry County,40.209379,-94.40411,13.7,43731,43
MO,Jasper County,37.200865,-94.338869,183.9,46596,34.3
MO,Johnson County,38.74588,-93.805999,63.4,52151,30.3
MO,Laclede County,37.65969,-92.594832,46.5,44562,39.2
MO,McDonald County,36.630218,-94.343956,42.8,40204,40.6
MO,Macon County,39.829795,-92.56434,19.4,45440,44.4
MO,Montgomery County,38.935162,-91.465437,22.8,48951,44.8
MO,Wright County,37.267636,-92.48001,27.6,35293,44.2
MT,Broadwater County,46.334476,-111.496103,4.7,52840,36.7
MT,Hill County,48.628331,-110.106372,5.6,50136,29.7
MT,Lake County,47.642901,-114.083687,19.3,44833,29.7
MT,Madison County,45.319288,-111.917328,2.1,53031,33.8
MT,Richland County,47.785513,-104.563387,4.7,67242,38.1
NE,Greeley County,41.5676,-98.530566,4.5,45221,33.8
NE,Hamilton County,40.877145,-98.021943,16.8,60608,30.7
NE,McPherson County,41.596473,-101.060237,0.6,53207,24.9
NE,Morrill County,41.732205,-102.990599,3.5,49151,32.9
NE,Red Willow County,40.16942,-100.468576,15.4,49034,31.7
NE,Thayer County,40.173845,-97.596263,9.1,51299,35.2
NE,Thurston County,42.154061,-96.533943,17.6,45405,32.9
NE,Wayne County,42.210746,-97.126243,21.7,55970,25.4
NV,Lander County,39.900211,-117.04724,1.1,79278,38.7
NV,Pershing County,40.439639,-118.409477,1.1,42522,33.7
NH,Coos County,44.652419,-71.289383,18.4,44259,40.1
NH,Grafton County,43.926488,-71.842264,52.2,65163,27
NM,Bernalillo County,35.054002,-106.669065,570.8,51372,23.2
NM,Grant County,32.732087,-108.381504,7.4,38341,25.5
NM,Hidalgo County,31.899658,-108.745729,1.4,39882,33.7
NM,McKinley County,35.573732,-108.255307,13.1,33976,33.7
NM,San Juan County,36.511625,-108.324578,23.6,46578,30.7
NY,Cattaraugus County,42.244853,-78.681006,61.4,48017,39.4
NY,Chautauqua County,42.304216,-79.407595,127.2,45689,35.9
NY,Chenango County,42.489732,-75.604905,56.5,50312,39
NY,Clinton County,44.75271,-73.705648,79.1,55517,37.3
NY,Cortland County,42.593824,-76.076265,98.9,51751,32.7
NY,Essex County,44.108971,-73.777573,21.9,54376,32.9
NY,Livingston County,42.727485,-77.76978,103.5,61027,32.9
NY,Oswego County,43.461443,-76.209258,128.3,53745,37.6
NY,Putnam County,41.427904,-73.743882,432.9,100887,26.9
NY,St. Lawrence County,44.488113,-75.074311,41.8,49356,36.9
NY,Schoharie County,42.591294,-74.438172,52.7,57757,36.9
NY,Tioga County,42.178057,-76.29745,98.6,60309,36.1
NY,Wayne County,43.458758,-77.063164,155.3,61118,34.6
NC,Brunswick County,34.038708,-78.227688,126.8,60163,28.6
NC,Currituck County,36.372174,-75.941224,89.9,64426,27.7
NC,Dare County,35.606269,-75.767536,88.5,64768,23.2
NC,Duplin County,34.934403,-77.933543,71.7,42725,32.5
NC,Henderson County,35.336424,-82.479634,286.1,54012,24.3
NC,Hyde County,35.408157,-76.153687,9.5,40653,41.5
NC,Macon County,35.152959,-83.421901,65.8,46426,30.6
NC,Orange County,36.062499,-79.119355,336.2,71920,14.8
NC,Tyrrell County,35.87042,-76.165345,11.3,36765,39.3
NC,Yancey County,35.889504,-82.30398,57,44756,32.6
ND,Dunn County,47.35461,-102.612365,1.8,66383,35
ND,McHenry County,48.233842,-100.633267,2.9,54795,34.1
ND,Pierce County,48.238883,-99.966497,4.3,47360,35.4
ND,Walsh County,48.376979,-97.72223,8.7,59705,33.9
OH,Athens County,39.333848,-82.046008,128.6,40416,34.9
OH,Carroll County,40.579884,-81.090787,73.1,50002,47.9
OH,Coshocton County,40.29672,-81.930112,65.4,46420,48.4
OH,Guernsey County,40.056665,-81.497875,76.8,44623,44.1
OH,Holmes County,40.565309,-81.929869,100.3,60828,33.2
OH,Van Wert County,40.85552,-84.585775,70.3,54331,46.1
OK,Cotton County,34.290676,-98.373438,9.8,43386,43.4
OK,Grady County,35.021058,-97.88689,47.6,56489,39.8
OK,Jefferson County,34.105092,-97.838814,8.5,37338,39.4
OK,McCurtain County,34.117073,-94.766086,17.9,37390,43.5
OK,Noble County,36.384901,-97.236335,15.8,54210,39.9
OK,Woods County,36.765141,-98.868967,6.9,51715,29.8
OR,Coos County,43.184193,-124.092557,39.5,48352,30.2
OR,Union County,45.304047,-117.999136,12.6,50616,32.7
PA,Allegheny County,40.46892,-79.98092,1675.6,59881,27.8
PA,Clarion County,41.198239,-79.420404,66.6,46284,45
PA,Elk County,41.427334,-78.653938,38.6,54876,48.5
PA,Greene County,39.848983,-80.225694,67.2,50956,46.4
PA,Susquehanna County,41.819665,-75.800969,52.7,52573,45.5
PA,Venango County,41.40198,-79.754418,81.5,45761,48.4
PA,Westmoreland County,40.311068,-79.466688,355.4,58398,37.5
SC,Berkeley County,33.2077,-79.953655,161.8,62204,29.7
SC,Charleston County,32.800458,-79.94248,382.3,62958,22.7
SC,Greenville County,34.892645,-82.372077,574.7,61162,24.7
SC,Horry County,33.909269,-78.976675,237.5,49082,32.8
SD,Buffalo County,44.044306,-99.203998,4.1,25973,39.8
SD,Davison County,43.680439,-98.155868,44.8,51724,30.6
SD,Lyman County,43.894812,-99.841925,2.3,47429,38.1
SD,Oglala Lakota County,43.341937,-102.55948,NA,31662,25.3
SD,Todd County,43.208172,-100.717204,6.9,31876,29.5
TN,Davidson County,36.169129,-86.78479,1243.3,60799,22.7
TN,Macon County,36.537838,-86.001231,72.4,42265,46.2
TN,Wayne County,35.242687,-87.819703,23.2,38879,44.4
TX,Anderson County,31.841266,-95.661744,55,45969,36.2
TX,Bastrop County,30.103128,-97.311859,83.5,61883,29.4
TX,Bexar County,29.448671,-98.520147,1383.1,54210,25.2
TX,Brazos County,30.656725,-96.302389,332.8,50113,19.6
TX,Brewster County,29.808997,-103.252458,1.5,45670,20.4
TX,Briscoe County,34.525173,-101.205893,1.8,44409,33.4
TX,Burleson County,30.493487,-96.622091,26.1,53626,39.2
TX,Burnet County,30.789616,-98.201195,43,56696,31.1
TX,Caldwell County,29.840422,-97.631097,69.8,52588,37.3
TX,Callahan County,32.29315,-99.372249,15.1,50330,38
TX,Chambers County,29.703933,-94.668875,58.8,89513,29.1
TX,Crockett County,30.717532,-101.404211,1.3,49117,34.3
TX,Culberson County,31.445909,-104.526945,0.6,42164,37.8
TX,Ector County,31.865301,-102.542507,152.8,60431,30.1
TX,Fayette County,29.877886,-96.921231,25.8,55776,40.3
TX,Floyd County,34.073731,-101.303274,6.5,39891,27.9
TX,Frio County,28.869334,-99.108788,15.2,41038,35.7
TX,Galveston County,29.228706,-94.894865,769.9,71959,25.5
TX,Garza County,33.183792,-101.301134,7.2,46490,27.9
TX,Gillespie County,30.32639,-98.942106,23.5,61433,30.6
TX,Grimes County,30.543231,-95.988082,33.8,49498,35.6
TX,Hartley County,35.840244,-102.610047,4.1,72451,38.4
TX,Hays County,30.061225,-98.029267,231.7,68180,22.3
TX,Henderson County,32.211633,-95.853418,89.9,43337,33.7
TX,Hill County,31.98224,-97.129886,36.6,48670,34.6
TX,Jefferson County,29.854,-94.149331,287.9,48121,32.6
TX,Kimble County,30.479472,-99.746396,3.7,42503,31.1
TX,Lamar County,33.667263,-95.570348,54.9,45767,33.6
TX,La Salle County,28.351098,-99.096774,4.6,40072,42.5
TX,Lavaca County,29.382578,-96.923633,19.9,51128,41.2
TX,Leon County,31.300493,-95.995622,15.7,47065,38.8
TX,Llano County,30.707585,-98.68469,20.7,54019,25.9
TX,Lynn County,33.178412,-101.818493,6.6,43436,29.6
TX,McLennan County,31.549493,-97.201472,226.5,48858,27.6
TX,Madison County,30.966878,-95.930372,29.3,45445,38.7
TX,Menard County,30.883707,-99.854936,2.5,35881,35.1
TX,Milam County,30.791242,-96.984395,24.3,46720,38.2
TX,Nolan County,32.312338,-100.418108,16.7,42522,33.1
TX,Presidio County,30.005891,-104.261619,2,37738,19.1
TX,Reagan County,31.372895,-101.513901,2.9,65273,38.5
TX,Reeves County,31.308366,-103.712706,5.2,45341,27.6
TX,Robertson County,31.025481,-96.514941,19.4,44917,36.7
TX,San Saba County,31.155138,-98.819292,5.4,43827,33.8
TX,Schleicher County,30.896233,-100.527216,2.6,47317,24
TX,Scurry County,32.744462,-100.913399,18.7,53059,32.3
TX,Shackelford County,32.743788,-99.347045,3.7,57126,22.6
TX,Swisher County,34.53046,-101.732852,8.8,43084,31.7
TX,Travis County,30.239513,-97.69127,1034.4,76255,16.8
TX,Trinity County,31.087483,-95.153291,21,40486,37.5
TX,Victoria County,28.79637,-96.971198,98.4,51646,30.4
TX,Ward County,31.513069,-103.105113,12.8,53621,35.2
TX,Washington County,30.215075,-96.410272,55.8,54332,32.6
TX,Wilson County,29.174303,-98.085899,53.4,71207,35.9
TX,Zavala County,28.864652,-99.75983,9,30076,31.3
UT,Davis County,41.037045,-112.202123,1025.8,84381,20.9
UT,Juab County,39.710827,-112.794262,3,65379,37.3
UT,Kane County,37.275118,-111.815413,1.8,52355,24
UT,Millard County,39.09454,-113.525014,1.9,58644,31
UT,Morgan County,41.091027,-111.577885,15.5,98875,17.7
